phase,flux_fitted
-0.017332567534580096,1.0
-0.01729226242556346,1.0
-0.01725195731654682,1.0
-0.01721165220753018,1.0
-0.01717134717990167,1.0
-0.01713104207088503,1.0
-0.017090736961868393,1.0
-0.017050431852851752,1.0
-0.017010126743835115,1.0
-0.016969821634818475,1.0
-0.016929516525801838,1.0
-0.016889211498173327,1.0
-0.016848906389156686,1.0
-0.01680860128014005,1.0
-0.01676829617112341,1.0
-0.016727991062106772,1.0
-0.016687685953090132,1.0
-0.016647380844073495,1.0
-0.016607075735056855,1.0
-0.016566770707428343,1.0
-0.016526465598411706,1.0
-0.016486160489395066,1.0
-0.01644585538037843,1.0
-0.01640555027136179,1.0
-0.01636524516234515,1.0
-0.01632494005332851,1.0
-0.0162846350257,1.0
-0.016244329916683363,1.0
-0.016204024807666723,1.0
-0.016163719698650086,1.0
-0.016123414589633445,1.0
-0.01608310948061681,1.0
-0.016042804371600168,1.0
-0.016002499343971657,1.0
-0.01596219423495502,1.0
-0.01592188912593838,1.0
-0.015881584016921742,1.0
-0.015841278907905102,1.0
-0.015800973798888465,1.0
-0.015760668689871825,1.0
-0.015720363662243313,1.0
-0.015680058553226676,1.0
-0.015639753444210036,1.0
-0.0155994483351934,1.0
-0.01555914322617676,1.0
-0.015518838117160122,1.0
-0.015478533008143483,1.0
-0.015438227899126845,1.0
-0.015397922871498331,1.0
-0.015357617762481693,1.0
-0.015317312653465056,1.0
-0.015277007544448417,1.0
-0.015236702435431779,1.0
-0.01519639732641514,1.0
-0.015156092217398501,1.0
-0.015115787189769988,1.0
-0.01507548208075335,1.0
-0.015035176971736713,1.0
-0.014994871862720074,1.0
-0.014954566753703435,1.0
-0.014914261644686797,1.0
-0.014873956535670158,1.0
-0.014833651508041645,1.0
-0.014793346399025006,1.0
-0.01475304129000837,1.0
-0.01471273618099173,1.0
-0.014672431071975092,1.0
-0.014632125962958454,1.0
-0.014591820853941815,1.0
-0.014551515826313302,1.0
-0.014511210717296663,1.0
-0.014470905608280026,1.0
-0.014430600499263388,1.0
-0.014390295390246749,1.0
-0.01434999028123011,1.0
-0.014309685172213472,1.0
-0.014269380063196833,1.0
-0.01422907503556832,1.0
-0.014188769926551683,1.0
-0.014148464817535044,1.0
-0.014108159708518406,1.0
-0.014067854599501767,1.0
-0.014027549490485128,1.0
-0.01398724438146849,1.0
-0.013946939353839977,1.0
-0.01390663424482334,1.0
-0.013866329135806701,1.0
-0.013826024026790062,1.0
-0.013785718917773424,1.0
-0.013745413808756785,1.0
-0.013705108699740147,1.0
-0.013664803672111633,1.0
-0.013624498563094996,1.0
-0.013584193454078358,1.0
-0.01354388834506172,1.0
-0.01350358323604508,1.0
-0.013463278127028442,1.0
-0.013422973018011803,1.0
-0.01338266799038329,1.0
-0.013342362881366653,1.0
-0.013302057772350015,1.0
-0.013261752663333376,1.0
-0.013221447554316737,1.0
-0.013181142445300099,1.0
-0.01314083733628346,1.0
-0.013100532308654947,1.0
-0.01306022719963831,1.0
-0.013019922090621671,1.0
-0.012979616981605033,1.0
-0.012939311872588394,1.0
-0.012899006763571755,1.0
-0.012858701654555117,1.0
-0.012818396545538478,1.0
-0.012778091517909965,1.0
-0.012737786408893328,1.0
-0.01269748129987669,1.0
-0.012657176190860051,1.0
-0.012616871081843412,1.0
-0.012576565972826774,1.0
-0.012536260863810135,1.0
-0.012495955836181622,1.0
-0.012455650727164985,1.0
-0.012415345618148346,1.0
-0.012375040509131708,1.0
-0.012334735400115069,1.0
-0.01229443029109843,1.0
-0.012254125182081792,1.0
-0.012213820154453279,1.0
-0.012173515045436642,1.0
-0.012133209936420003,1.0
-0.012092904827403364,1.0
-0.012052599718386726,1.0
-0.012012294609370087,1.0
-0.011971989500353448,1.0
-0.011931684472724935,1.0
-0.011891379363708298,1.0
-0.01185107425469166,1.0
-0.011810769145675021,1.0
-0.011770464036658383,1.0
-0.011730158927641744,1.0
-0.011689853818625105,1.0
-0.011649548709608467,1.0
-0.011609243681979955,1.0
-0.011568938572963317,1.0
-0.011528633463946678,1.0
-0.01148832835493004,1.0
-0.0114480232459134,1.0
-0.011407718136896762,1.0
-0.011367413027880123,1.0
-0.011327108000251612,1.0
-0.011286802891234973,1.0
-0.011246497782218335,1.0
-0.011206192673201696,1.0
-0.011165887564185057,1.0
-0.011125582455168419,1.0
-0.01108527734615178,1.0
-0.011044972318523269,1.0
-0.01100466720950663,1.0
-0.010964362100489991,1.0
-0.010924056991473353,1.0
-0.010883751882456714,1.0
-0.010843446773440076,1.0
-0.010803141664423437,1.0
-0.010762836636794925,1.0
-0.010722531527778287,1.0
-0.010682226418761648,1.0
-0.01064192130974501,1.0
-0.010601616200728371,1.0
-0.010561311091711732,1.0
-0.010521005982695094,1.0
-0.010480700873678455,1.0
-0.010440395846049944,1.0
-0.010400090737033305,1.0
-0.010359785628016666,1.0
-0.010319480519000028,1.0
-0.010279175409983389,1.0
-0.01023887030096675,1.0
-0.010198565191950112,1.0
-0.0101582601643216,1.0
-0.010117955055304962,1.0
-0.010077649946288323,1.0
-0.010037344837271684,0.9999833999596909
-0.009997039728255046,0.9999252442987718
-0.009956734619238407,0.9998408545973886
-0.009916429510221769,0.9997352415510741
-0.009876124482593257,0.9996112014589466
-0.009835819373576618,0.999470522952
-0.00979551426455998,0.9993147114198785
-0.009755209155543341,0.9991447736367558
-0.009714904046526703,0.998961670859628
-0.009674598937510064,0.9987661978307639
-0.009634293828493425,0.9985590488594676
-0.009593988800864914,0.998340843088061
-0.009553683691848275,0.9981121396042217
-0.009513378582831637,0.9978734522192894
-0.009473073473814998,0.9976252567048146
-0.00943276836479836,0.9973679979562456
-0.00939246325578172,0.9971020948577279
-0.009352158146765082,0.996827910963734
-0.009311853037748443,0.9965458914477586
-0.009271548010119932,0.9962564406584615
-0.009231242901103293,0.9959598548988788
-0.009190937792086655,0.9956564403471452
-0.009150632683070016,0.9953466150678244
-0.009110327574053377,0.9950307369757462
-0.009070022465036739,0.9947090500464713
-0.0090297173560201,0.9943818736973562
-0.008989412328391589,0.9940496579936577
-0.00894910721937495,0.9937125703304345
-0.008908802110358311,0.993371003069109
-0.008868497001341673,0.9930253135831201
-0.008828191892325034,0.9926756716187047
-0.008787886783308396,0.992322601364025
-0.008747581674291757,0.9919662713270105
-0.008707276646663245,0.9916070414135343
-0.008666971537646607,0.9912453090611707
-0.008626666428629968,0.9908812562816378
-0.00858636131961333,0.9905154330012731
-0.008546056210596691,0.9901479592650103
-0.008505751101580052,0.9897794157741222
-0.008465445992563414,0.989409952446045
-0.008425140964934902,0.9890401336022936
-0.008384835855918264,0.9886701761124121
-0.008344530746901625,0.9883006232990698
-0.008304225637884986,0.9879317599170405
-0.008263920528868348,0.987564134197079
-0.008223615419851709,0.9871980787874639
-0.00818331031083507,0.9868341854796175
-0.008143005201818432,0.9864728180810063
-0.00810270017418992,0.9861146479087665
-0.008062395065173282,0.9857600680991102
-0.008022089956156643,0.9854098527736991
-0.007981784847140004,0.9850644545877049
-0.007941479738123366,0.9847247604329282
-0.007901174629106727,0.9843913458452778
-0.007860869520090089,0.9840652141218423
-0.007820564492461577,0.9837471660325219
-0.0077802593834449384,0.9834383609111196
-0.0077399542744283,0.983140005072352
-0.007699649165411661,0.9828535370564406
-0.0076593440563950226,0.9825808428830787
-0.007619038947378385,0.9823241417571695
-0.007578733838361746,0.9820867834994187
-0.007538428810733234,0.9818739048019337
-0.007498123701716595,0.9816985809839326
-0.0074578185926999566,0.9815720176233942
-0.007417513483683318,0.9814537816274573
-0.007377208374666679,0.9813413483233613
-0.0073369032656500415,0.9812336437569824
-0.007296598156633403,0.9811299836560202
-0.00725629312900489,0.98102987422882
-0.007215988019988252,0.9809329480695246
-0.007175682910971613,0.9808389227595663
-0.007135377801954975,0.9807475703886306
-0.007095072692938336,0.980658705379328
-0.007054767583921698,0.9805721061331755
-0.00701446247490506,0.9804876669089387
-0.0069741574472765465,0.9804052728904764
-0.006933852338259909,0.980324746129098
-0.00689354722924327,0.9802460772384294
-0.0068532421202266314,0.9801690684754432
-0.006812937011209993,0.9800937412403011
-0.006772631902193355,0.9800199404450466
-0.006732326793176716,0.9799476437867458
-0.006692021684160078,0.9798767990610221
-0.0066517166565315654,0.979807273621538
-0.006611411547514927,0.9797391157475651
-0.006571106438498288,0.9796722043079333
-0.00653080132948165,0.9796064977215213
-0.006490496220465012,0.9795420134899602
-0.006450191111448373,0.9794786473212148
-0.0064098860024317346,0.979416358148876
-0.006369580974803222,0.9793551729865897
-0.006329275865786584,0.9792950459147668
-0.006288970756769945,0.9792358459358063
-0.006248665647753306,0.9791776525627579
-0.0062083605387366686,0.9791204360108064
-0.00616805542972003,0.9790641345633349
-0.006127750320703391,0.9790086755527432
-0.006087445293074879,0.9789541155503305
-0.00604714018405824,0.9789004301701129
-0.006006835075041602,0.9788475945854462
-0.005966529966024963,0.9787954837549286
-0.005926224857008325,0.978744184810093
-0.005885919747991687,0.9786936772467782
-0.005845614638975048,0.9786439432412779
-0.005805309611346536,0.9785949403796964
-0.005765004502329897,0.9785465967302964
-0.0057246993933132585,0.9784989759782798
-0.00568439428429662,0.978452061725682
-0.005644089175279982,0.9784058392071346
-0.0056037840662633434,0.9783602996386256
-0.005563478957246705,0.9783153340058739
-0.005523173848230066,0.9782710067422794
-0.005482868820601554,0.9782273175335544
-0.005442563711584915,0.9781842534651488
-0.005402258602568277,0.9781418031803707
-0.005361953493551639,0.9780999594609953
-0.005321648384535,0.9780586367209201
-0.005281343275518362,0.9780178708015606
-0.005241038166501723,0.9779776758448229
-0.005200733138873211,0.9779380416034217
-0.005160428029856572,0.9778989582344266
-0.005120122920839933,0.9778604173070619
-0.005079817811823295,0.9778224144939045
-0.005039512702806657,0.977784864766449
-0.004999207593790018,0.977747813661028
-0.00495890248477338,0.9777112709978709
-0.004918597457144867,0.9776752286600038
-0.004878292348128229,0.9776396787010938
-0.00483798723911159,0.977604613946715
-0.0047976821300949515,0.9775700282426851
-0.004757377021078314,0.9775359197955167
-0.004717071912061675,0.9775022016282745
-0.0046767668030450365,0.9774689321907316
-0.004636461775416524,0.9774361149081288
-0.0045961566663998855,0.9774037432316888
-0.004555851557383247,0.9773718110584372
-0.004515546448366608,0.9773403125209892
-0.0044752413393499705,0.9773092421964978
-0.004434936230333332,0.9772785955453237
-0.004394631121316693,0.9772483712342936
-0.004354326012300055,0.977218498750937
-0.004314020984671542,0.9771890178376966
-0.004273715875654904,0.9771599394545866
-0.004233410766638265,0.9771312586756223
-0.004193105657621627,0.9771029706739505
-0.004152800548604989,0.9770750707983085
-0.00411249543958835,0.9770475546094162
-0.004072190330571711,0.9770204179640322
-0.004031885302943199,0.9769936572925608
-0.00399158019392656,0.9769672702070457
-0.003951275084909922,0.9769412322760341
-0.003910969975893284,0.9769155096420246
-0.0038706648668766453,0.9768901470031743
-0.0038303597578600067,0.97686514051458
-0.0037900546488433685,0.9768404864363203
-0.0037497496212148557,0.976816181185395
-0.003709444512198217,0.9767922211473611
-0.003669139403181579,0.9767686029855618
-0.0036288342941649403,0.9767453234742505
-0.003588529185148302,0.9767223796137595
-0.0035482240761316635,0.9766997687955297
-0.0035079189671150253,0.9766774893535974
-0.0034676139394865125,0.9766555304843241
-0.003427308830469874,0.976633842392165
-0.0033870037214532357,0.9766124753694416
-0.003346698612436597,0.9765914265515617
-0.003306393503419959,0.9765706931455782
-0.0032660883944033202,0.9765502724305574
-0.003225783285386682,0.9765301617590368
-0.0031854781763700434,0.9765103585602144
-0.0031451731487415306,0.97649086038515
-0.0031048680397248924,0.9764716647613632
-0.003064562930708254,0.9764527694510506
-0.0030242578216916156,0.976434172338147
-0.002983952712674977,0.9764158715732861
-0.002943647603658339,0.9763978658842135
-0.0029033424946417,0.9763801562999701
-0.0028630374670131874,0.9763626868918528
-0.002822732357996549,0.976345499397243
-0.0027824272489799106,0.9763285975438903
-0.0027421221399632724,0.9763119793224115
-0.0027018170309466337,0.9762956427724717
-0.002661511921929995,0.9762795859826814
-0.002621206812913357,0.9762638070908677
-0.002580901785284844,0.9762483043159196
-0.002540596676268206,0.9762330758347668
-0.0025002915672515673,0.9762181199731613
-0.002459986458234929,0.9762034350850426
-0.0024196813492182905,0.9761890195931604
-0.002379376240201652,0.9761748720056145
-0.0023390711311850137,0.9761609909484634
-0.002298766103556501,0.9761473752656479
-0.0022584609945398627,0.9761340241107413
-0.002218155885523224,0.976120938039948
-0.0021778507765065854,0.9761080796035407
-0.0021375456674899472,0.9760954686945651
-0.0020972405584733086,0.9760831158843422
-0.0020569354494566704,0.976071019837171
-0.002016630340440032,0.9760591792513656
-0.0019763253128115194,0.9760475928820368
-0.0019360202037948808,0.9760362594477272
-0.0018957150947782424,0.9760251777705758
-0.001855409985761604,0.9760143466821168
-0.0018151048767449656,0.9760037650469588
-0.0017747997677283272,0.9759934317630017
-0.0017344946587116885,0.9759833457618985
-0.001694189631083176,0.9759735060295178
-0.0016538845220665376,0.9759639115283502
-0.0016135794130498992,0.9759545613189843
-0.0015732743040332607,0.9759454544838274
-0.0015329691950166223,0.9759365901534496
-0.001492664085999984,0.9759279675176212
-0.0014523589769833453,0.975919585846546
-0.0014120539493548327,0.9759114445534689
-0.0013717488403381943,0.9759035432557487
-0.001331443731321556,0.9758958824484182
-0.0012911386223049175,0.9758884350985086
-0.001250833513288279,0.9758812163919477
-0.0012105284042716405,0.9758742340384607
-0.001170223295255002,0.9758674873241354
-0.0011299182676264895,0.9758609755722283
-0.001089613158609851,0.9758546980907908
-0.0010493080495932127,0.975848654251321
-0.0010090029405765743,0.9758428434354603
-0.0009686978315599357,0.9758372650481603
-0.0009283927225432973,0.9758319185174741
-0.0008880876135266588,0.9758268032943586
-0.0008477825045100204,0.975821918852489
-0.0008074774768815077,0.9758172646972575
-0.0007671723678648693,0.9758128403284901
-0.0007268672588482309,0.9758086452966989
-0.0006865621498315925,0.9758046791649111
-0.0006462570408149541,0.975800941518206
-0.0006059519317983156,0.9757974319636515
-0.0005656468227816772,0.9757941501302672
-0.0005253417951531645,0.9757910956749631
-0.00048503668613652606,0.9757882682583631
-0.0004447315771198876,0.9757856675818883
-0.0004044264681032492,0.9757832933627485
-0.0003641213590866108,0.9757811453405087
-0.0003238162500699723,0.9757792248490326
-0.0002835111410533339,0.9757775350981832
-0.0002432061134248212,0.97577607234984
-0.0002029010044081828,0.975774835621085
-0.00016259589539154435,0.9757738240151984
-0.00012229078637490592,0.9757730366941431
-8.19856773582675e-05,0.9757724728812737
-4.168056834162907e-05,0.9757721318965947
-1.3754593249906394e-06,0.9757720132449383
3.892956830352205e-05,0.9757721167324643
7.923467732016048e-05,0.9757724425289718
0.0001195397863367989,0.9757729911126932
0.00015984489535343733,0.9757737631544212
0.00020015000437007577,0.975774759425869
0.0002404551133867142,0.9757759807611442
0.00028076022240335264,0.9757774280555185
0.0003210652500318653,0.9757791022765621
0.00036137035904850373,0.975781006968715
0.0004016754680651422,0.9757831395609422
0.0004419805770817806,0.9757854983331138
0.000482285686098419,0.9757880835441313
0.0005225907951150574,0.9757908954752655
0.0005628959041316959,0.9757939344299822
0.0006032010131483344,0.9757972007338194
0.000643506040776847,0.9758006947270211
0.0006838111497934854,0.9758044167931799
0.0007241162588101238,0.9758083673169035
0.0007644213678267623,0.97581254671161
0.0008047264768434008,0.9758169554127645
0.0008450315858600392,0.97582159387797
0.0008853366948766776,0.9758264625870819
0.0009256417225051903,0.9758315620318105
0.0009659468315218287,0.975836892757529
0.001006251940538467,0.9758424553016607
0.0010465570495551055,0.9758482502345834
0.001086862158571744,0.9758542781497616
0.0011271672675883823,0.9758605396639555
0.001167472376605021,0.9758670354174411
0.0012077774042335335,0.9758737660604109
0.001248082513250172,0.9758807323080554
0.0012883876222668103,0.9758879348592698
0.0013286927312834488,0.9758953684132935
0.0013689978403000872,0.9759030127086449
0.0014093029493167258,0.9759108976245685
0.0014496080583333642,0.9759190225455454
